,Name of bill,Bill no.,Stage,Last activity,Select Committee
33,Thomas Cawthron Trust Amendment Bill  Bill - private,149-1,SC,13 December 2022,"Economic Development, Science and Innovation Committee"
34,Digital Identity Services Trust Framework Bill  Bill - government,78-2,CH,08 December 2022,"Economic Development, Science and Innovation Committee"
35,Parental Leave and Employment Protection (Shared Leave) Amendment Bill  Bill - member's,211-1,1,08 December 2022,
36,Crimes (Child Exploitation Offences) Amendment Bill  Bill - member's,59-2,3,07 December 2022,Justice Committee
37,Employment Relations (Extended Time for Personal Grievance for Sexual Harassment) Amendment Bill  Bill - member's,87-2,3,07 December 2022,Education and Workforce Committee
38,Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill  Bill - member's,89-2,CH,07 December 2022,Governance and Administration Committee
39,Sale and Supply of Alcohol (Harm Minimisation) Amendment Bill  Bill - member's,147-1,1,07 December 2022,
40,Local Government Official Information and Meetings Amendment Bill  Bill - government,202-1,SC,06 December 2022,Governance and Administration Committee
41,Statutes Amendment Bill  Bill - government,108-2,RA,30 November 2022,Governance and Administration Committee
42,Residential Tenancies (Healthy Homes Standards) Amendment Bill  Bill - government,201-1,RA,30 November 2022,
43,Remuneration Authority Legislation Bill  Bill - government,82-2,RA,29 November 2022,Justice Committee
44,Māori Purposes Bill  Bill - government,92-2,RA,29 November 2022,Māori Affairs Committee
45,Security Information in Proceedings Legislation Bill  Bill - government,97-2,3,29 November 2022,Justice Committee
46,Companies (Levies) Amendment Bill  Bill - government,133-2,RA,29 November 2022,Finance and Expenditure Committee
47,Dairy Industry Restructuring (Fonterra Capital Restructuring) Amendment Bill  Bill - government,165-2,RA,29 November 2022,Primary Production Committee
48,Climate Change Response (Extension of Penalty Transition for Forestry Activities with Low Volume Emissions Liabilities) Amendment Bill  Bill - government,175-1,RA,29 November 2022,Environment Committee
49,Arms (Licence Holders' Applications for New Licences) Amendment Bill  Bill - government,183-2,RA,29 November 2022,Justice Committee
0,Security Information in Proceedings Bill  Bill - government,97-3A,RA,29 November 2022,
1,Security Information in Proceedings (Repeals and Amendments) Bill  Bill - government,97-3B,RA,29 November 2022,
2,Social Security (Accommodation Supplement) Amendment Bill  Bill - government,193-1,RA,29 November 2022,
3,COVID-19 Public Health Response (Extension of Act and Reduction of Powers) Amendment Bill  Bill - government,197-1,RA,29 November 2022,
4,Land Transport (Clean Vehicles) Amendment Bill (No 2)  Bill - government,195-1,RA,29 November 2022,
5,Fuel Industry Amendment Bill  Bill - government,188-1,SC,28 November 2022,"Economic Development, Science and Innovation Committee"
6,Legal Services Amendment Bill  Bill - government,190-1,SC,28 November 2022,Justice Committee
7,Grocery Industry Competition Bill  Bill - government,191-1,SC,28 November 2022,"Economic Development, Science and Innovation Committee"
8,Crown Minerals Amendment Bill  Bill - government,198-1,SC,28 November 2022,"Economic Development, Science and Innovation Committee"
9,Health and Safety at Work (Health and Safety Representatives and Committees) Amendment Bill  Bill - government,194-1,SC,25 November 2022,Education and Workforce Committee
10,Accident Compensation (Access Reporting and Other Matters) Amendment Bill  Bill - government,189-1,SC,25 November 2022,Education and Workforce Committee
11,Foreign Affairs (Consular Loans) Amendment Bill  Bill - government,135-1,2,24 November 2022,"Foreign Affairs, Defence and Trade Committee"
12,Organic Products and Production Bill  Bill - government,221-2,CH,22 November 2022,Primary Production Committee
13,Plant Variety Rights Bill  Bill - government,35-3,RA,18 November 2022,"Economic Development, Science and Innovation Committee"
14,Electoral (Māori Electoral Option) Legislation Bill  Bill - government,139-3,RA,18 November 2022,Justice Committee
15,Inspector-General of Defence Bill  Bill - government,178-1,SC,17 November 2022,"Foreign Affairs, Defence and Trade Committee"
16,Sustainable Biofuel Obligation Bill  Bill - government,182-1,SC,17 November 2022,Environment Committee
17,Civil Aviation Bill  Bill - government,61-2,2,15 November 2022,Transport and Infrastructure Committee
18,United Kingdom Free Trade Agreement Legislation Bill  Bill - government,145-3,RA,15 November 2022,"Foreign Affairs, Defence and Trade Committee"
19,Apple Transitional Export Quota Bill  Bill - government,145-3A,RA,15 November 2022,
20,Companies (Directors Duties) Amendment Bill  Bill - member's,75-1,SC,10 November 2022,"Economic Development, Science and Innovation Committee"
21,Customs and Excise (Arrival Information) Amendment Bill  Bill - government,180-1,SC,10 November 2022,"Foreign Affairs, Defence and Trade Committee"
22,Business Payment Practices Bill  Bill - government,179-1,SC,10 November 2022,"Economic Development, Science and Innovation Committee"
23,Fair Trading (Gift Card Expiry) Amendment Bill  Bill - member's,184-1,1,10 November 2022,
24,Electoral (Right to Switch Rolls Freely) Amendment Bill  Bill - member's,140-1,W,09 November 2022,
25,Fair Pay Agreements Bill  Bill - government,115-3,RA,02 November 2022,Education and Workforce Committee
26,Hazardous Substances and New Organisms (Hazardous Substances Assessments) Amendment Bill  Bill - government,54-2,RA,31 October 2022,Environment Committee
27,Fisheries Amendment Bill  Bill - government,117-3,RA,31 October 2022,Primary Production Committee
28,Counter-Terrorism Acts (Designations and Control Orders) Amendment Bill  Bill - government,176-1,SC,27 October 2022,Justice Committee
29,Ngāti Tara Tokanui Claims Settlement Bill  Bill - government,177-1,1,25 October 2022,
30,Biosecurity (Information for Incoming Passengers) Amendment Bill  Bill - member's,22-2,RA,21 October 2022,Primary Production Committee
31,Plain Language Bill  Bill - member's,70-2,RA,21 October 2022,Governance and Administration Committee
32,Worker Protection (Migrant and Other Employees) Bill  Bill - government,174-1,SC,19 October 2022,Education and Workforce Committee
33,Sale and Supply of Alcohol (Renewal of Licences) Amendment Bill (No 2)  Bill - member's,21-1,2,17 October 2022,Governance and Administration Committee
34,Animal Welfare Amendment Bill  Bill - government,67-1,RA,30 September 2022,Primary Production Committee
35,Accident Compensation (Maternal Birth Injury and Other Matters) Amendment Bill  Bill - government,103-2,RA,30 September 2022,Education and Workforce Committee
36,Screen Industry Workers Bill  Bill - government,219-3,RA,30 September 2022,Education and Workforce Committee
37,Charities Amendment Bill  Bill - government,169-1,SC,29 September 2022,Social Services and Community Committee
38,Deposit Takers Bill  Bill - government,162-1,SC,29 September 2022,Finance and Expenditure Committee
39,Maniapoto Claims Settlement Bill  Bill - government,104-2,RA,27 September 2022,Māori Affairs Committee
40,Increased Penalties for Breach of Biosecurity Bill  Bill - member's,132-1,SC,22 September 2022,Primary Production Committee
41,"Taxation (Annual Rates for 2022-23, Platform Economy, and Remedial Matters) Bill (No 2)  Bill - government",164-1,SC,22 September 2022,Finance and Expenditure Committee
42,Oranga Tamariki (Repeal of Section 7AA) Amendment Bill  Bill - member's,170-1,1,22 September 2022,
43,Employment Relations (Restraint of Trade) Amendment Bill  Bill - member's,172-1,1,22 September 2022,
44,Sale and Supply of Alcohol (Cellar Door Tasting) Amendment Bill  Bill - member's,173-1,1,22 September 2022,
45,Overseas Investment (Exempt Investment from OECD Countries) Amendment Bill  Bill - member's,58-1,W,21 September 2022,
46,Electoral (Strengthening Democracy) Amendment Bill  Bill - member's,131-1,W,21 September 2022,
47,Appropriation (2022/23 Estimates) Bill  Bill - government,123-1,RA,21 September 2022,
48,Queen Elizabeth II Memorial Day Bill  Bill - government,168-1,RA,21 September 2022,
49,Imprest Supply (Second for 2022/23) Bill  Bill - government,160-1,RA,21 September 2022,
0,Palmerston North Reserves Empowering Amendment Bill  Bill - local,93-1,RA,06 September 2022,Environment Committee
1,Protection of Journalists’ Sources Bill  Bill - member's,69-1,2,02 September 2022,Justice Committee
2,Electricity Industry Amendment Bill  Bill - government,63-3,RA,01 September 2022,"Economic Development, Science and Innovation Committee"
3,Self-contained Motor Vehicles Legislation Bill  Bill - government,158-1,SC,01 September 2022,"Economic Development, Science and Innovation Committee"
4,"Taxation (Annual Rates for 2022-23, Platform Economy, and Remedial Matters) Bill  Bill - government",161-1,1,01 September 2022,
5,Oversight of Oranga Tamariki System Bill  Bill - government,94-3A,RA,30 August 2022,
6,Children and Young People's Commission Bill  Bill - government,94-3B,RA,30 August 2022,
7,New Zealand Bill of Rights (Declarations of Inconsistency) Amendment Bill  Bill - government,230-2,RA,30 August 2022,Privileges Committee
8,Construction Contracts (Retention Money) Amendment Bill  Bill - government,45-2,CH,23 August 2022,Transport and Infrastructure Committee
9,Three Strikes Legislation Repeal Bill  Bill - government,79-3,RA,16 August 2022,Justice Committee
10,Firearms Prohibition Orders Legislation Bill  Bill - government,106-2,RA,16 August 2022,Justice Committee
11,Overseas Investment (Forestry) Amendment Bill  Bill - government,134-2,RA,16 August 2022,Finance and Expenditure Committee
12,Accessibility for New Zealanders Bill  Bill - government,153-1,SC,15 August 2022,Social Services and Community Committee
13,Oversight of Oranga Tamariki System and Children and Young People's Commission Bill  Bill - government,94-2,3,11 August 2022,Social Services and Community Committee
14,Crown Minerals (Prohibition of Mining) Amendment Bill  Bill - member's,156-1,1,11 August 2022,
15,Data and Statistics Bill  Bill - government,81-3,RA,09 August 2022,Governance and Administration Committee
16,Canterbury Regional Council (Ngāi Tahu Representation) Bill  Bill - local,91-2,RA,09 August 2022,Māori Affairs Committee
17,Customs and Excise (Child Sex Offender Register Information Sharing) Amendment Bill  Bill - member's,141-1,1,08 August 2022,
18,Child Protection (Child Sex Offender Government Agency Registration) (Overseas Travel Reporting) Amendment Bill  Bill - member's,90-1,SC,04 August 2022,Justice Committee
19,Housing Infrastructure (GST-sharing) Bill  Bill - member's,154-1,1,04 August 2022,
20,Prohibition on Seabed Mining Legislation Amendment Bill  Bill - member's,155-1,1,04 August 2022,
21,Repeal of Good Friday and Easter Sunday as Restricted Trading Days (Shop Trading and Sale of Alcohol) Amendment Bill  Bill - member's,130-1,W,03 August 2022,
22,Education and Training Amendment Bill (No 2)  Bill - government,102-3,RA,29 July 2022,Education and Workforce Committee
23,Appropriation (2021/22 Supplementary Estimates) Bill  Bill - government,124-1,RA,29 June 2022,
24,Commerce (Grocery Sector Covenants) Amendment Bill  Bill - government,122-3,RA,29 June 2022,"Economic Development, Science and Innovation Committee"
25,Local Electoral (Advertising) Amendment Bill  Bill - government,137-1,RA,29 June 2022,Justice Committee
26,Support Workers (Pay Equity) Settlements Amendment Bill  Bill - government,144-1,RA,29 June 2022,
27,Imprest Supply (First for 2022/23) Bill  Bill - government,142-1,RA,29 June 2022,
28,Financial Markets (Conduct of Institutions) Amendment Bill  Bill - government,203-3,RA,29 June 2022,Finance and Expenditure Committee
29,Medicines Amendment Bill (No 2)  Bill - government,138-1,RA,22 June 2022,Health Committee
30,Pae Ora (Healthy Futures) Bill  Bill - government,85-3,RA,14 June 2022,Pae Ora Legislation Committee
31,Improving Arrangements for Surrogacy Bill  Bill - member's,72-1,SC,08 June 2022,Health Committee
32,Te Ture Whenua Māori Bill  Bill - member's,74-1,W,08 June 2022,
33,Financial Professional Services Trading Advice Transparency Bill  Bill - member's,88-1,W,08 June 2022,
34,Taxation (Cost of Living Payments) Bill  Bill - government,128-1,RA,25 May 2022,
35,Income Insurance Scheme (Enabling Development) Bill  Bill - government,121-1,RA,25 May 2022,
36,Companies Office Registers Funding Validation Bill  Bill - government,126-1,RA,25 May 2022,
37,Customs and Excise (Tobacco Products) Amendment Bill  Bill - government,125-1,RA,25 May 2022,
38,Coroners (Coronial Cap) Amendment Bill  Bill - government,119-1,RA,25 May 2022,
39,Maritime Powers Bill  Bill - government,48-2,RA,20 May 2022,"Foreign Affairs, Defence and Trade Committee"
40,Local Government (Pecuniary Interests Register) Amendment Bill  Bill - member's,51-2,RA,20 May 2022,Governance and Administration Committee
41,Criminal Proceeds (Recovery) (Definition of Significant Criminal Activity) Amendment Bill  Bill - member's,73-1,W,18 May 2022,
42,Education and Training (Freedom of Expression) Amendment Bill  Bill - member's,86-1,W,18 May 2022,
43,Crown Pastoral Land Reform Bill  Bill - government,307-3,RA,18 May 2022,Environment Committee
44,Retail Payment System Bill  Bill - government,80-2,RA,16 May 2022,"Economic Development, Science and Innovation Committee"
45,Protected Disclosures (Protection of Whistleblowers) Bill  Bill - government,294-3,RA,16 May 2022,Education and Workforce Committee
46,Human Rights (Disability Assist Dogs Non-Discrimination) Amendment Bill  Bill - member's,28-1,RA,10 May 2022,Social Services and Community Committee
47,Appropriation (2020/21 Confirmation and Validation) Bill  Bill - government,112-1,RA,10 May 2022,
48,Unit Titles (Strengthening Body Corporate Governance and Other Matters) Amendment Bill  Bill - member's,306-3,RA,10 May 2022,Finance and Expenditure Committee
49,COVID-19 Response (Courts Safety) Legislation Bill  Bill - government,110-2,RA,20 April 2022,Justice Committee
0,Public Finance (Prohibition on Providing Public Funds to Gangs) Amendment Bill  Bill - member's,71-1,W,13 April 2022,
1,Te Pire mō te Hararei Tūmatanui o te Kāhui o Matariki/Te Kāhui o Matariki Public Holiday Bill  Bill - government,76-1,RA,11 April 2022,Māori Affairs Committee
2,Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill  Bill - government,116-1,RA,11 April 2022,
3,Maori Commercial Aquaculture Claims Settlement Amendment Bill  Bill - government,322-1,RA,11 April 2022,Māori Affairs Committee
4,Rotorua District Council (Representation Arrangements) Bill  Bill - local,114-1,SC,06 April 2022,Māori Affairs Committee
5,Commerce Amendment Bill  Bill - government,9-3,RA,05 April 2022,"Economic Development, Science and Innovation Committee"
6,Incorporated Societies Bill  Bill - government,15-3,RA,05 April 2022,"Economic Development, Science and Innovation Committee"
7,Ngāti Maru (Taranaki) Claims Settlement Bill  Bill - government,36-2,RA,30 March 2022,Māori Affairs Committee
8,"Taxation (Annual Rates for 2021-22, GST, and Remedial Matters) Bill  Bill - government",65-3,RA,30 March 2022,Finance and Expenditure Committee
9,Ngāti Rangitihi Claims Settlement Bill  Bill - government,17-2,RA,18 March 2022,Māori Affairs Committee
10,Paige Harris Birth Registration Bill  Bill - private,109-2,RA,18 March 2022,Governance and Administration Committee
11,"Contraception, Sterilisation, and Abortion (Safe Areas) Amendment Bill  Bill - member's",310-2,RA,18 March 2022,Health Committee
12,Russia Sanctions Bill  Bill - government,111-1,RA,11 March 2022,
13,Land Transport (Drug Driving) Amendment Bill  Bill - government,317-3,RA,11 March 2022,Transport and Infrastructure Committee
14,Girl Guides Association (New Zealand Branch) Incorporation Amendment Bill  Bill - private,5-1,2,10 March 2022,Social Services and Community Committee
15,Sunscreen (Product Safety Standard) Bill  Bill - member's,11-3,RA,08 March 2022,Health Committee
16,Harmful Digital Communications (Unauthorised Posting of Intimate Visual Recording) Amendment Bill  Bill - member's,305-3,RA,08 March 2022,Justice Committee
17,Land Transport (Clean Vehicles) Amendment Bill  Bill - government,62-3,RA,22 February 2022,Transport and Infrastructure Committee
18,Conversion Practices Prohibition Legislation Bill  Bill - government,56-2,RA,19 February 2022,Justice Committee
19,Lawyers and Conveyancers (Employed Lawyers Providing Free Legal Services) Amendment Bill  Bill - member's,311-1,W,15 February 2022,Justice Committee
20,Resource Management (Enabling Housing Supply and Other Matters) Amendment Bill  Bill - government,83-2,RA,20 December 2021,Environment Committee
21,Gambling (Reinstating COVID-19 Modification) Amendment Bill  Bill - government,105-1,RA,20 December 2021,
22,Sexual Violence Legislation Bill  Bill - government,185-3,RA,20 December 2021,Justice Committee
23,Education and Training Amendment Bill  Bill - government,32-1,RA,15 December 2021,Education and Workforce Committee
24,"Births, Deaths, Marriages, and Relationships Registration Bill  Bill - government",296-3,RA,15 December 2021,Governance and Administration Committee
25,Subordinate Legislation Confirmation Bill  Bill - government,55-1,RA,14 December 2021,Regulations Review Committee
26,Rights for Victims of Insane Offenders Bill  Bill - member's,129-3,RA,14 December 2021,Justice Committee
27,Ahuriri Hapū Claims Settlement Bill  Bill - government,216-2,RA,14 December 2021,Māori Affairs Committee
28,Crown Minerals (Decommissioning and Other Matters) Amendment Bill  Bill - government,47-3,RA,01 December 2021,"Economic Development, Science and Innovation Committee"
29,Drug and Substance Checking Legislation Bill (No 2)  Bill - government,34-2,RA,25 November 2021,Health Committee
30,COVID-19 Response (Vaccinations) Legislation Bill  Bill - government,101-1,RA,25 November 2021,
31,Taxation (COVID-19 Support Payments and Working for Families Tax Credits) Bill  Bill - government,96-1,RA,25 November 2021,
32,Moriori Claims Settlement Bill  Bill - government,238-2,RA,25 November 2021,Māori Affairs Committee
33,"Education and Training (Teaching Council Fees, Levies, and Costs) Amendment Bill  Bill - government",60-3,RA,19 November 2021,Education and Workforce Committee
34,COVID-19 Public Health Response Amendment Bill (No 2)  Bill - government,68-2,RA,19 November 2021,Health Committee
35,Health (Fluoridation of Drinking Water) Amendment Bill  Bill - government,208-2,RA,15 November 2021,Health Committee
36,Maritime Transport (MARPOL Annex VI) Amendment Bill  Bill - government,37-2,RA,15 November 2021,Transport and Infrastructure Committee
37,New Zealand Superannuation and Retirement Income (Fair Residency) Amendment Bill  Bill - member's,107-3,RA,15 November 2021,Finance and Expenditure Committee
38,Holidays (Parent-Teacher Interview Leave) Amendment Bill  Bill - member's,13-1,2,05 November 2021,Education and Workforce Committee
39,COVID-19 Response (Management Measures) Legislation Bill  Bill - government,77-2,RA,03 November 2021,Finance and Expenditure Committee
40,"Films, Videos, and Publications Classification (Urgent Interim Classification of Publications and Prevention of Online Harm) Amendment Bill  Bill - government",268-3,RA,03 November 2021,Governance and Administration Committee
41,Mental Health (Compulsory Assessment and Treatment) Amendment Bill  Bill - government,14-2,RA,29 October 2021,Health Committee
42,Financial Sector (Climate-related Disclosures and Other Matters) Amendment Bill  Bill - government,30-2,RA,27 October 2021,"Economic Development, Science and Innovation Committee"
43,Regional Comprehensive Economic Partnership (RCEP) Legislation Bill  Bill - government,33-2,RA,27 October 2021,"Foreign Affairs, Defence and Trade Committee"
44,Freedom Camping (Infringement Offences and Other Matters) Amendment Bill  Bill - member's,52-1,W,20 October 2021,
45,Arms (Firearms Prohibition Orders) Amendment Bill (No 2)  Bill - member's,217-2,W,20 October 2021,Justice Committee
46,Social Security (Subsequent Child Policy Removal) Amendment Bill  Bill - government,18-2,RA,04 October 2021,Social Services and Community Committee
47,Counter-Terrorism Legislation Bill  Bill - government,29-2,RA,04 October 2021,Justice Committee
48,Water Services Bill  Bill - government,314-3,RA,04 October 2021,Health Committee
49,Resource Management (Regional Responsibility for Certain Agricultural Matters) Amendment Bill  Bill - member's,49-1,W,22 September 2021,
0,Autonomous Sanctions Bill  Bill - member's,50-1,W,22 September 2021,
1,Appropriation (2021/22 Estimates) Bill  Bill - government,39-1,RA,14 September 2021,
2,Imprest Supply (Second for 2021/22) Bill  Bill - government,66-1,RA,14 September 2021,
3,Fair Trading Amendment Bill  Bill - government,213-2,RA,17 August 2021,"Economic Development, Science and Innovation Committee"
4,Reserve Bank of New Zealand Bill  Bill - government,315-3,RA,17 August 2021,Finance and Expenditure Committee
5,Family Court (Supporting Children in Court) Legislation Bill  Bill - government,323-2,RA,17 August 2021,Justice Committee
6,New Zealand Public Health and Disability (Restriction on Crown Funding Agreements and Unfunded Cancer Medicines) Amendment Bill  Bill - member's,57-1,1,05 August 2021,
7,Secondhand Dealers and Pawnbrokers (Electronic Records) Amendment Bill  Bill - member's,23-1,W,04 August 2021,
8,Income Tax (Adjustment of Taxable Income Ranges) Amendment Bill  Bill - member's,25-1,W,04 August 2021,
9,Regulatory Standards Bill  Bill - member's,27-1,W,04 August 2021,
10,Land Transport (Vehicles Responding to Electrical Emergency) Amendment Bill  Bill - member's,31-1,W,04 August 2021,
11,Education and Training (Grants—Budget Measures) Amendment Bill  Bill - government,43-2,RA,12 July 2021,Education and Workforce Committee
12,Annual Reporting and Audit Time Frames Extensions Legislation Bill  Bill - government,53-1,RA,12 July 2021,
13,Gas (Information Disclosure and Penalties) Amendment Bill  Bill - government,224-2,RA,12 July 2021,"Economic Development, Science and Innovation Committee"
14,District Court (Protection of Judgment Debtors with Disabilities) Amendment Bill  Bill - member's,284-2,RA,05 July 2021,Justice Committee
15,Crimes (Robbery) Amendment Bill  Bill - member's,19-1,W,30 June 2021,
16,"Synthetic Urine (Prohibition on Importation, Supply and Acquisition to Pass a Workplace Drug Test) Bill  Bill - member's",20-1,W,30 June 2021,
17,Intelligence and Security (Review) Amendment Bill  Bill - government,44-1,RA,29 June 2021,"Foreign Affairs, Defence and Trade Committee"
18,Health (National Cervical Screening Programme) Amendment Bill  Bill - government,26-3,RA,29 June 2021,Health Committee
19,Social Security (Financial Assistance for Caregivers) Amendment Bill  Bill - government,308-2,RA,29 June 2021,Social Services and Community Committee
20,Appropriation (2020/21 Supplementary Estimates) Bill  Bill - government,40-1,RA,25 June 2021,
21,Imprest Supply (First for 2021/22) Bill  Bill - government,46-1,RA,25 June 2021,
22,Education (Strengthening Second Language Learning in Primary and Intermediate Schools) Amendment Bill  Bill - member's,99-1,W,09 June 2021,Education and Workforce Committee
23,Electoral (Integrity Repeal) Amendment Bill  Bill - member's,304-1,W,09 June 2021,Justice Committee
24,"Building (Building Products and Methods, Modular Components, and Other Matters) Amendment Bill  Bill - government",234-2,RA,08 June 2021,Environment Committee
25,Oranga Tamariki (Youth Justice Demerit Points) Amendment Bill  Bill - member's,229-1,2,26 May 2021,Social Services and Community Committee
26,Medicines Amendment Bill  Bill - government,41-1,RA,25 May 2021,
27,Taxation (Budget 2021 and Remedial Measures) Bill  Bill - government,38-1,RA,25 May 2021,
28,COVID-19 Public Health Response (Validation of Managed Isolation and Quarantine Charges) Amendment Bill  Bill - government,42-1,RA,25 May 2021,
29,Holidays (Increasing Sick Leave) Amendment Bill  Bill - government,1-1,RA,24 May 2021,Education and Workforce Committee
30,Overseas Investment Amendment Bill (No 3)  Bill - government,265-2,RA,24 May 2021,Finance and Expenditure Committee
31,Appropriation (2019/20 Confirmation and Validation) Bill  Bill - government,10-1,RA,14 May 2021,
32,Immigration (COVID-19 Response) Amendment Bill  Bill - government,24-1,RA,10 May 2021,Education and Workforce Committee
33,Financial Market Infrastructures Bill  Bill - government,212-3,RA,10 May 2021,Finance and Expenditure Committee
34,Policing (Killing a Police Dog) Amendment Bill  Bill - member's,12-1,W,14 April 2021,
35,Protection for First Responders and Prison Officers Bill  Bill - member's,64-1,CH,14 April 2021,Justice Committee
36,Ngāti Hinerangi Claims Settlement Bill  Bill - government,171-2,RA,12 April 2021,Māori Affairs Committee
37,Local Government (Rating of Whenua Māori) Amendment Bill  Bill - government,226-3,RA,12 April 2021,Māori Affairs Committee
38,Adverse Weather-affected Timber Recovery on Conservation Lands Bill  Bill - member's,319-1,W,07 April 2021,
39,Accident Compensation (Notice of Decisions) Amendment Bill  Bill - member's,320-1,W,07 April 2021,
40,Holidays (Bereavement Leave for Miscarriage) Amendment Bill (No 2)  Bill - member's,159-2,RA,30 March 2021,Education and Workforce Committee
41,Regulatory Systems (Transport) Amendment Bill  Bill - government,196-2,RA,30 March 2021,Transport and Infrastructure Committee
42,"Taxation (Annual Rates for 2020-21, Feasibility Expenditure, and Remedial Matters) Bill  Bill - government",273-2,RA,30 March 2021,Finance and Expenditure Committee
43,Secondary Legislation Bill  Bill - government,199-3,RA,25 March 2021,Regulations Review Committee
44,Child Support Amendment Bill  Bill - government,228-2,RA,25 March 2021,Social Services and Community Committee
45,Companies (Limited Partnerships Identical Names Prohibition) Amendment Bill  Bill - member's,312-1,W,24 March 2021,
46,Corrections (School Notification of Sex Offenders) Amendment Bill  Bill - member's,313-1,W,24 March 2021,
47,Insurance (Prompt Settlement of Claims for Uninhabitable Residential Property) Bill  Bill - member's,206-1,2,23 March 2021,Governance and Administration Committee
48,Child Protection (Child Sex Offender Government Agency Registration) Amendment Bill  Bill - government,16-1,RA,22 March 2021,
49,Climate Change Response (Auction Price) Amendment Bill  Bill - government,7-2,RA,12 March 2021,Environment Committee
0,Misuse of Drugs (Medicinal Cannabis) Amendment Bill (No 2)  Bill - member's,309-1,W,10 March 2021,
1,Local Electoral (Māori Wards and Māori Constituencies) Amendment Bill  Bill - government,6-1,RA,02 March 2021,Māori Affairs Committee
2,Food (Continuation of Dietary Supplements Regulations) Amendment Bill  Bill - government,248-1,RA,23 February 2021,Primary Production Committee
3,Taxation (COVID-19 Resurgence Support Payments and Other Matters) Bill  Bill - government,8-1,RA,18 February 2021,
4,Subordinate Legislation Confirmation Bill (No 5)  Bill - government,300-2,RA,11 December 2020,Regulations Review Committee
5,COVID-19 Public Health Response Amendment Bill  Bill - government,3-1,RA,08 December 2020,
6,Drug and Substance Checking Legislation Bill  Bill - government,4-1,RA,08 December 2020,
7,Taxation (Income Tax Rate and Other Amendments) Bill  Bill - government,2-1,RA,08 December 2020,
